file_version	1
321796	6	Gold Prize	5	359	149	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321798	23	Silver Prize	4	309	143	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321620	77		2	110	84	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322158	1	Gold Prize	7	574	142	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321903	50	Bronze Prize	2	43	26	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321683	52	Bronze Prize	2	45	32	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322155	17	Silver Prize	4	270	122	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321624	90		2	176	121	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321635	56	Bronze Prize	2	55	38	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321637	85		2	157	105	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322177	8	Gold Prize	4	131	41	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322199	98		0	0	0	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322532	9	Gold Prize	4	164	92	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322469	66		2	86	53	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322133	63		2	78	48	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322526	65		2	82	53	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321639	93		2	314	124	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322268	86		2	158	40	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322454	14	Silver Prize	4	225	75	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321913	16	Silver Prize	4	238	91	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321498	46	Bronze Prize	2	34	23	2017 ACM-ICPC Asia Taiwan Online Programming Contest
320780	68		2	89	47	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321792	76		2	109	60	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321802	24	Silver Prize	4	312	142	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322166	38	Bronze Prize	3	233	128	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321506	31	Bronze Prize	3	162	83	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321496	43	Bronze Prize	2	31	21	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321943	98		0	0	0	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321177	60	Bronze Prize	2	66	40	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321195	83		2	146	89	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321600	55	Bronze Prize	2	54	34	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321634	41	Bronze Prize	3	309	147	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321801	25	Silver Prize	4	332	77	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322327	27	Silver Prize	3	102	48	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322369	30	Silver Prize	3	147	73	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322058	89		2	168	71	2017 ACM-ICPC Asia Taiwan Online Programming Contest
322176	5	Gold Prize	5	224	120	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321794	12	Silver Prize	4	218	134	2017 ACM-ICPC Asia Taiwan Online Programming Contest
321800	4	Gold Prize	6	561	161	2017 ACM-ICPC Asia Taiwan Online Programming Contest
